Epoch: 0 Loss: 345,6197963541908
Epoch: 128 Loss: 192,0534268020443
Epoch: 256 Loss: 156,15424013990392
Epoch: 384 Loss: 135,10167447865413
Epoch: 512 Loss: 141,15313106801278
Epoch: 640 Loss: 126,86581202226328
Epoch: 768 Loss: 114,0290168798644
Epoch: 896 Loss: 106,92138978939848
Epoch: 1024 Loss: 103,64029927651745
Epoch: 1152 Loss: 104,4326420310436
Epoch: 1280 Loss: 91,19554348912074
Epoch: 1408 Loss: 89,89328764174971
Epoch: 1536 Loss: 86,2785147048451
Epoch: 1664 Loss: 88,80237326457836
Epoch: 1792 Loss: 87,01063236825054
Epoch: 1920 Loss: 82,4945801983029
Epoch: 2048 Loss: 82,76238670833548
Epoch: 2176 Loss: 77,30711722300617
Epoch: 2304 Loss: 78,38820524023151
Epoch: 2432 Loss: 78,3256087595919
Epoch: 2560 Loss: 71,2163906044021
Epoch: 2688 Loss: 70,29079333480965
Epoch: 2816 Loss: 68,47039061253825
Epoch: 2944 Loss: 65,27284780447292
Epoch: 3072 Loss: 63,49594723631616
Epoch: 3200 Loss: 65,53955179992882
Epoch: 3328 Loss: 63,18177224569083
Epoch: 3456 Loss: 61,63288810928205
Epoch: 3584 Loss: 64,92817653639715
Epoch: 3712 Loss: 54,48955476483243
Epoch: 3840 Loss: 57,25105963523765
Epoch: 3968 Loss: 52,256746230306945
Epoch: 4096 Loss: 58,72715426515153
Epoch: 4224 Loss: 58,632135975627754
Epoch: 4352 Loss: 53,84859948153459
Epoch: 4480 Loss: 58,93673035400297
Epoch: 4608 Loss: 50,14842722045283
Epoch: 4736 Loss: 55,37288431623444
Epoch: 4864 Loss: 50,61597435364034
Epoch: 4992 Loss: 47,628635117375815
Epoch: 5120 Loss: 54,071297529910055
Epoch: 5248 Loss: 49,14131717924673
Epoch: 5376 Loss: 48,31357239484304
Epoch: 5504 Loss: 52,716764941501985
Epoch: 5632 Loss: 45,14931560719946
Epoch: 5760 Loss: 47,30506779744531
Epoch: 5888 Loss: 44,38170366607249
Epoch: 6016 Loss: 47,247041582510946
Epoch: 6144 Loss: 50,46587189618897
Epoch: 6272 Loss: 45,80876410164255
Epoch: 6400 Loss: 48,326172951327855
Epoch: 6528 Loss: 46,45147710423755
Epoch: 6656 Loss: 45,55809579539772
